SUBSCRIBER_ID,BILL_MONTH,CHARGES
1812,2017-05-01,2.470
4541,2017-09-01,23.294
2547,2017-05-01,8.752
5016,2017-10-01,4.964
1238,2016-08-01,5.672
5132,2016-07-01,2.562
5906,2017-01-01,8.666
5014,2017-04-01,4.841
4922,2017-02-01,11.514
252,2017-03-01,10.690
3300,2016-09-01,11.042
3594,2017-01-01,10.034
1422,2016-07-01,8.119
5558,2017-09-01,9.539
5232,2017-08-01,5.024
3727,2016-12-01,5.612
4802,2017-08-01,1.036
2980,2017-10-01,4.964
3949,2017-07-01,9.973
1552,2016-11-01,11.380
4341,2017-11-01,6.248
1518,2016-08-01,9.499
142,2017-06-01,9.752
4527,2017-11-01,3.564
4330,2016-12-01,5.598
4652,2016-11-01,4.922
5389,2016-09-01,3.326
3478,2017-06-01,2.456
1049,2016-11-01,20.503
970,2016-07-01,6.712
2323,2016-10-01,4.910
5241,2016-10-01,6.670
3878,2016-08-01,6.130
1666,2016-07-01,6.026
5655,2017-10-01,10.928
3177,2016-12-01,8.698
2839,2016-07-01,6.590
4741,2016-09-01,4.232
1754,2017-09-01,7.966
381,2017-10-01,5.460
5832,2016-10-01,4.974
5277,2016-12-01,2.334
4512,2016-06-01,6.904
1688,2017-03-01,6.872
3204,2016-07-01,5.978
1277,2017-03-01,3.302
5424,2016-11-01,4.224
5710,2017-08-01,29.829
697,2017-02-01,4.816
4625,2017-02-01,6.562
771,2016-09-01,5.020
3862,2016-07-01,21.084
498,2017-09-01,6.509
5134,2016-06-01,4.363
4243,2016-07-01,6.254
5730,2016-09-01,9.594
1972,2016-10-01,7.394
3754,2016-07-01,9.224
1114,2017-03-01,9.538
3151,2016-12-01,6.932
4196,2017-04-01,8.461
5835,2017-05-01,4.964
1812,2016-10-01,1.624
4541,2017-04-01,19.648
2547,2017-06-01,12.388
5016,2017-03-01,5.002
1238,2017-02-01,11.417
5132,2017-09-01,2.896
5906,2017-09-01,5.395
5014,2017-06-01,5.032
4922,2016-08-01,4.276
252,2017-04-01,11.471
3300,2017-11-01,5.306
3594,2017-06-01,5.372
1422,2017-08-01,5.198
5558,2017-02-01,3.335
5232,2017-02-01,6.670
3727,2017-07-01,5.760
4802,2017-01-01,9.282
2980,2016-12-01,5.796
3949,2017-11-01,5.208
1552,2017-04-01,12.192
4341,2017-03-01,6.449
1518,2017-07-01,5.660
142,2017-07-01,7.842
4527,2017-05-01,26.422
4330,2016-06-01,3.873
4652,2016-08-01,4.112
5389,2016-06-01,4.025
3478,2017-01-01,6.606
1049,2017-08-01,8.706
970,2016-08-01,2.496
2323,2016-06-01,4.200
5241,2017-07-01,4.918
3878,2016-11-01,22.910
1666,2017-10-01,7.374
5655,2016-12-01,2.838
3177,2017-02-01,6.670
2839,2017-01-01,8.536
4741,2017-11-01,5.686
1754,2017-12-01,4.820
381,2016-08-01,5.930
5832,2017-04-01,8.889
5277,2016-10-01,3.684
4512,2017-04-01,1.316
1688,2016-07-01,5.930
3204,2016-10-01,4.699
