iter	Passed	Remaining
659	6640	3421
660	6651	3411
661	6661	3401
662	6671	3390
663	6682	3381
664	6691	3370
665	6703	3361
666	6712	3351
667	6723	3341
668	6734	3331
669	6744	3322
670	6754	3311
671	6766	3302
672	6775	3291
673	6785	3281
674	6795	3271
675	6804	3261
676	6814	3251
677	6823	3240
678	6834	3231
679	6844	3221
680	6853	3210
681	6864	3200
682	6873	3190
683	6884	3180
684	6893	3169
685	6902	3159
686	6912	3149
687	6921	3138
688	6932	3129
689	6942	3119
690	6952	3108
691	6962	3098
692	6971	3088
693	6982	3078
694	6991	3068
695	7001	3057
696	7011	3048
697	7020	3037
698	7031	3027
699	7041	3017
700	7050	3007
701	7061	2997
702	7070	2987
703	7080	2977
704	7090	2967
705	7100	2956
706	7111	2947
707	7120	2936
708	7131	2926
709	7140	2916
710	7150	2906
711	7161	2896
712	7170	2886
713	7180	2876
714	7190	2866
715	7199	2855
716	7210	2845
717	7219	2835
718	7229	2825
719	7239	2815
720	7249	2805
721	7259	2795
722	7268	2784
723	7279	2774
724	7288	2764
725	7297	2754
726	7308	2744
727	7317	2733
728	7327	2723
729	7337	2713
730	7346	2703
731	7357	2693
732	7367	2683
733	7378	2674
734	7390	2664
735	7399	2654
736	7410	2644
737	7420	2634
738	7429	2624
739	7440	2614
740	7449	2603
741	7460	2594
742	7470	2584
743	7479	2573
744	7491	2564
745	7501	2554
746	7511	2544
747	7521	2534
748	7530	2523
749	7541	2513
750	7551	2503
751	7561	2493
752	7572	2483
753	7581	2473
754	7592	2463
755	7602	2453
756	7611	2443
757	7622	2433
758	7631	2423
759	7642	2413
760	7652	2403
761	7661	2393
762	7672	2383
763	7683	2373
764	7692	2363
765	7703	2353
766	7712	2342
767	7723	2333
768	7732	2322
769	7742	2312
770	7753	2302
771	7762	2292
772	7773	2282
773	7783	2272
774	7793	2262
775	7805	2253
776	7815	2243
777	7825	2232
778	7836	2223
779	7846	2212
780	7856	2203
781	7867	2193
782	7878	2183
783	7889	2173
784	7900	2163
785	7910	2153
786	7921	2143
787	7930	2133
788	7940	2123
789	7951	2113
790	7961	2103
791	7971	2093
792	7981	2083
793	7991	2073
794	8003	2063
